행정구역,소멸위험지수_역수처리,다세대주택,단독주택,폐가계산값,폐가지수,방문자,방문자지수,가중치점수,최종점수
전라남도 광양시,0.0684748432592045,243.0,1742.0,1292.3,0.1922064400981631,42338908.5,0.0948468710473559,0.7292997944958,27.57778346287594
광주광역시 남구,0.0980410282151791,239.0,1312.0,990.1,0.1472596118093255,49456582.0,0.112545169641044,0.706893637221784,27.250259743384074
대구광역시 남구,0.1342108550217951,306.0,733.0,604.9,0.089968022607273,53248716.5,0.1219744204613333,0.697009502008128,27.10577764011457
부산광역시 수영구,0.0997794779458128,2765.0,480.0,1165.5,0.1733472149921915,71901889.5,0.1683560682671399,0.6822268981713586,26.889691796692944
인천광역시 부평구,0.0540311338863385,4902.0,1225.0,2328.1,0.3462631070127166,130529714.0,0.3141358295752904,0.6806733313192614,26.86698241428277
충청북도 증평군,0.1211677703476616,54.0,342.0,255.6,0.0380159143303339,15693429.5,0.0285921259380377,0.6627023428532344,26.604290114422657
부산광역시 동래구,0.1126955876285231,2240.0,625.0,1109.5,0.1650182196772514,85890945.0,0.2031402546003113,0.652252087973747,26.45153271359262
인천광역시 남동구,0.0663034835533019,6549.0,310.0,2181.7,0.324488733546516,136720139.5,0.3295284995145594,0.6459266193769386,26.359069692066022
경상북도 경산시,0.0928873353581749,621.0,1583.0,1294.4,0.1925187774224734,85436540.0,0.2020103635800973,0.6379722818981002,26.242796554941172
대전광역시 동구,0.1127376690805885,241.0,1194.0,908.1,0.135063582955306,71405068.0,0.1671207074073359,0.6346376794541888,26.19405274840175
울산광역시 중구,0.1074239919814752,753.0,822.0,801.3,0.1191789990332416,64472044.0,0.1498815450730133,0.5948938668610741,25.613094524816475
대전광역시 중구,0.1196176378290166,615.0,910.0,821.5,0.1221833866289879,82794771.5,0.1954415306983418,0.5737552876353631,25.304099724498474
부산광역시 사상구,0.118771256774769,912.0,375.0,536.0999999999999,0.0797352569346322,61019931.0,0.1412977674309013,0.5504665198159391,24.963674377781576
광주광역시 동구,0.0880690040755539,624.0,944.0,848.0,0.1261247861976649,59695475.0,0.1380044697315615,0.5427104395076413,24.85029928002676
