,region,region_code,visitors,시도 이름,결합행정구역,visitors_scaled
130,시흥시,41390,135421681.5,경기도,경기도 시흥시,0.3262998465852893
131,신안군,46910,13578208.0,전라남도,전라남도 신안군,0.02333256722144464
132,아산시,44200,101939110.0,충청남도,충청남도 아산시,0.24304447555829373
133,안동시,47170,60863110.0,경상북도,경상북도 안동시,0.1409078275321745
134,안산시 단원구,41273,121011380.0,,,0.290468220033148
135,안산시 상록구,41271,78706964.0,,,0.18527708051268527
136,안성시,41550,79195805.5,경기도,경기도 안성시,0.18649259887440645
137,안양시 동안구,41173,105651924.0,,,0.25227649368821015
138,안양시 만안구,41171,73786548.5,,,0.17304232673759123
139,양구군,51800,9214016.0,,,0.01248087907697085
140,양산시,48330,107089692.5,경상남도,경상남도 양산시,0.25585154615747546
141,양양군,51830,26195036.0,,,0.05470467065513063
