행정구역,소멸위험,폐가,방문자,가중치점수,최종점수
대구광역시 수성구,0.0965819463911837,0.1023721503388786,0.3282415829711403,0.461784600001414,13.209727715045904
인천광역시 중구,0.0362657437954972,0.1601971657424522,0.2813080439302812,0.38061217227456134,11.825228115777396
경기도 시흥시,0.0137421747410511,0.2126309303758472,0.3262998465852893,0.3803038182475078,11.81996874336679
서울특별시 구로구,0.0586571235774817,0.1371842267406038,0.3259096804124615,0.37892861769675834,11.796512938671219
경기도 의정부시,0.0586930725050581,0.1322242760320394,0.3271811842084663,0.3629570064129424,11.524096675644993
대구광역시 북구,0.0717705145979713,0.1012939001848429,0.3441846820666557,0.3185495914777295,10.766671403245336
광주광역시 서구,0.0538481002798992,0.1046826863832409,0.2706929079526444,0.31259565259657424,10.665119358716533
충청남도 계룡시,0.0568402516336206,0.0121688231669747,0.0259050774750772,0.2948026501939499,10.361636940042146
대구광역시 중구,0.0441965918209439,0.0894023413431916,0.213291076122811,0.2758989070114833,10.039209416390026
서울특별시 성북구,0.0485133176875559,0.1196241528034504,0.3270660019882357,0.27437304485989505,10.013183885349834
서울특별시 금천구,0.0463743518602095,0.0447627849661121,0.1476588719851402,0.21850124221424358,9.060218814086799
경기도 군포시,0.0529586729376802,0.045686999383857,0.1917019856605402,0.2101523771794318,8.917818240163593
서울특별시 중랑구,0.0642590100731727,0.0437153419593345,0.2498228643660734,0.20261821187779358,8.789313412440052
경기도 화성시,0.0,0.2919593345656192,0.6773289459829502,0.1985490577139073,8.719908782480971
경기도 구리시,0.0537925238157373,0.0492914356130622,0.22346088726409,0.19337603865378314,8.631676324535391
광주광역시 광산구,0.010519233550304,0.1489833641404805,0.3084148631554723,0.19113139701748916,8.593391089844518
서울특별시 노원구,0.0717529170462133,0.077634011090573,0.4127563434268901,0.17891027507589535,8.38494422057402
서울특별시 동작구,0.0325476777033544,0.0989217498459642,0.2927721777403602,0.16673146031430447,8.177218954382308
서울특별시 강동구,0.0491756128096932,0.0900184842883549,0.35814046795068,0.15779304896285073,8.024762913818536
경기도 오산시,0.0153229611602629,0.0830252618607517,0.1748596906935733,0.1508309006899963,7.906014568305814
대구광역시 달서구,0.076369744147861,0.0556377079482439,0.401050566282703,0.14771127830133374,7.852805417515027
서울특별시 서대문구,0.0383407750333693,0.1021565003080714,0.3609114292936906,0.13726194679737014,7.674578700820738
서울특별시 용산구,0.0312334676695586,0.1220579174368453,0.3890344716147713,0.13330661904355762,7.607115525904293
경기도 김포시,0.04380080926431,0.1004313000616143,0.3886020269964671,0.13169591950992582,7.579642984780363
부산광역시 강서구,0.0428397708143078,0.0190080098582871,0.1637255863625713,0.10749729728382898,7.166904525267738
서울특별시 강남구,0.031215017839768,0.3155268022181146,1.0,0.10265549585318379,7.084321407721675
경기도 과천시,0.0295796136189372,0.0147258163894023,0.0958013909364881,0.09627412632640481,6.975478986717097
서울특별시 서초구,0.0354636157248532,0.1932840418977203,0.6767892996578988,0.08038090465952807,6.704399758892089
울산광역시 북구,0.0194900274368386,0.0405113986444855,0.1505410470487648,0.06844328606888467,6.500788401959634
대전광역시 서구,0.03190021041794,0.0848428835489833,0.3772377670934048,0.03679193564324512,5.960934128682693
서울특별시 동대문구,0.0440014088302738,0.0342883548983364,0.2932443508690801,0.029627757977298108,5.8387399134133275
서울특별시 종로구,0.0546605562359667,0.0702094886013555,0.4717112771713531,0.01221996981254686,5.541827816372816
대전광역시 유성구,0.002884968793847,0.0973505853357979,0.3490046076108147,-0.04252800763418596,4.608031021593841
서울특별시 성동구,0.030987158536332,0.0288971041281577,0.2856374333321437,-0.04401032826601059,4.582748146876153
서울특별시 마포구,0.0073175896626329,0.140234134319162,0.5298274041207665,-0.07253705285011591,4.096188364679673
서울특별시 송파구,0.0293738407071329,0.1510474430067775,0.6789224900416986,-0.07891095748570165,3.987473266944277
인천광역시 연수구,0.0165844631892523,0.0415280345040049,0.2934026470083905,-0.08589622755011433,3.868330549696676
경기도 하남시,0.0284469515407097,0.0229821318545902,0.2989330906352138,-0.08775193736789466,3.8366790447334265
서울특별시 관악구,0.0111680358224457,0.0403265557609365,0.3307032972409607,-0.1538834508459227,2.708721479912913
서울특별시 광진구,0.0164000008268423,0.0323783117683302,0.3553260097631879,-0.1761910703239858,2.3282364914394726
서울특별시 중구,0.0468226200090107,0.0155576093653727,0.4882969686049994,-0.2075110404638278,1.79403433287365
서울특별시 영등포구,0.0201300536684027,0.0317929759704251,0.5087234540337696,-0.3126942577804808,0.0
