,결합행정구역,다세대주택,단독주택,폐가지수_2023_raw,폐가지수_2023,폐가지수_2023_순위
245,서울특별시 성동구,439.0,20.0,187.60000000000002,0.028897104128157738,246.0
246,경기도 하남시,163.0,140.0,149.2,0.022982131854590263,247.0
247,강원특별자치도 철원군,312.0,14.0,133.20000000000002,0.020517560073937156,248.0
248,부산광역시 강서구,127.0,121.0,123.4,0.019008009858287125,249.0
249,경기도 성남시 수정구,235.0,39.0,117.4,0.018083795440542207,250.0
250,강원특별자치도 화천군,68.0,138.0,110.0,0.016943930991990142,251.0
251,서울특별시 중구,179.0,49.0,101.0,0.015557609365372767,252.0
252,경기도 수원시 영통구,245.0,0.0,98.0,0.01509550215650031,253.0
253,경기도 과천시,230.0,6.0,95.6,0.014725816389402341,254.0
254,경기도 고양시 일산서구,198.0,15.0,88.2,0.013585951940850279,255.0
255,경상북도 울릉군,0.0,135.0,81.0,0.012476894639556377,256.0
256,충청남도 계룡시,139.0,39.0,79.0,0.012168823166974738,257.0
257,경기도 용인시 수지구,114.0,32.0,64.8,0.009981515711645102,258.0
258,경기도 성남시 분당구,71.0,21.0,41.0,0.006315465187923599,259.0
259,강원특별자치도 양구군,19.0,27.0,23.8,0.003666050523721504,260.0
260,경상남도 창원시 성산구,0.0,23.0,13.799999999999999,0.0021256931608133085,261.0
261,경상북도 군위군,0.0,0.0,0.0,0.0,262.0
