행정구역,,행정구역,소멸위험,폐가,방문자,가중치점수,최종점수,메인 캐릭터
경기도,안성시,경기도 안성시,0.113429066,0.092020949,0.186492599,0.65671558,16.53452495,바우덕이
부산광역시,북구,부산광역시 북구,0.118795078,0.080499076,0.185659849,0.64981277,16.4167887,부기
인천광역시,계양구,인천광역시 계양구,0.058330441,0.176032039,0.176152647,0.643595674,16.31074817,
서울특별시,강서구,서울특별시 강서구,0.031308909,0.298767714,0.41870079,0.634146897,16.14958719,
충청남도,아산시,충청남도 아산시,0.043066287,0.197165742,0.243044476,0.563784185,14.94946112,아랑이
울산광역시,남구,울산광역시 남구,0.054404438,0.190234134,0.281793672,0.560930923,14.90079509,
경기도,이천시,경기도 이천시,0.061710479,0.151324707,0.207671724,0.554854795,14.79715896,반디
광주광역시,북구,광주광역시 북구,0.063916946,0.173998768,0.32057767,0.521003364,14.21977949,
경기도,남양주시,경기도 남양주시,0.068053387,0.231885397,0.52133485,0.514588279,14.11036202,정약용
부산광역시,기장군,부산광역시 기장군,0.095903377,0.071749846,0.180574191,0.514192234,14.10360695,부기
서울특별시,양천구,서울특별시 양천구,0.063469376,0.144115835,0.237010442,0.512683941,14.0778811,
대구광역시,달성군,대구광역시 달성군,0.059833307,0.128342575,0.173779632,0.510414629,14.03917507,
울산광역시,동구,울산광역시 동구,0.085956284,0.060289587,0.103249603,0.507400576,13.98776655,
경상남도,양산시,경상남도 양산시,0.077479855,0.123598275,0.255851546,0.502342551,13.90149546,양이&산이
경기도,양주시,경기도 양주시,0.071205041,0.11133703,0.209809823,0.48022647,13.52427741,꾸미
경상남도,김해시,경상남도 김해시,0.050717588,0.197104128,0.365687379,0.479212946,13.50699044,토더기
경기도,의왕시,경기도 의왕시,0.048575448,0.116605052,0.126483263,0.466209132,13.28519377,느티&까비
대구광역시,수성구,대구광역시 수성구,0.096581946,0.10237215,0.328241583,0.4617846,13.20972772,
인천광역시,중구,인천광역시 중구,0.036265744,0.160197166,0.281308044,0.380612172,11.82522812,
경기도,시흥시,경기도 시흥시,0.013742175,0.21263093,0.326299847,0.380303818,11.81996874,토로&해로
서울특별시,구로구,서울특별시 구로구,0.058657124,0.137184227,0.32590968,0.378928618,11.79651294,
경기도,의정부시,경기도 의정부시,0.058693073,0.132224276,0.327181184,0.362957006,11.52409668,의돌이&랑이
대구광역시,북구,대구광역시 북구,0.071770515,0.1012939,0.344184682,0.318549591,10.7666714,
광주광역시,서구,광주광역시 서구,0.0538481,0.104682686,0.270692908,0.312595653,10.66511936,
충청남도,계룡시,충청남도 계룡시,0.056840252,0.012168823,0.025905077,0.29480265,10.36163694,용도령
대구광역시,중구,대구광역시 중구,0.044196592,0.089402341,0.213291076,0.275898907,10.03920942,
서울특별시,성북구,서울특별시 성북구,0.048513318,0.119624153,0.327066002,0.274373045,10.01318389,
서울특별시,금천구,서울특별시 금천구,0.046374352,0.044762785,0.147658872,0.218501242,9.060218814,
경기도,군포시,경기도 군포시,0.052958673,0.045686999,0.191701986,0.210152377,8.91781824,포근&포유
서울특별시,중랑구,서울특별시 중랑구,0.06425901,0.043715342,0.249822864,0.202618212,8.789313412,
경기도,화성시,경기도 화성시,0,0.291959335,0.677328946,0.198549058,8.719908782,코리요&알콩이&달콩이&티렉스
경기도,구리시,경기도 구리시,0.053792524,0.049291436,0.223460887,0.193376039,8.631676325,아리미
광주광역시,광산구,광주광역시 광산구,0.010519234,0.148983364,0.308414863,0.191131397,8.59339109,
서울특별시,노원구,서울특별시 노원구,0.071752917,0.077634011,0.412756343,0.178910275,8.384944221,
서울특별시,동작구,서울특별시 동작구,0.032547678,0.09892175,0.292772178,0.16673146,8.177218954,
서울특별시,강동구,서울특별시 강동구,0.049175613,0.090018484,0.358140468,0.157793049,8.024762914,
경기도,오산시,경기도 오산시,0.015322961,0.083025262,0.174859691,0.150830901,7.906014568,까산이&까오
대구광역시,달서구,대구광역시 달서구,0.076369744,0.055637708,0.401050566,0.147711278,7.852805418,
서울특별시,서대문구,서울특별시 서대문구,0.038340775,0.1021565,0.360911429,0.137261947,7.674578701,
서울특별시,용산구,서울특별시 용산구,0.031233468,0.122057917,0.389034472,0.133306619,7.607115526,
경기도,김포시,경기도 김포시,0.043800809,0.1004313,0.388602027,0.13169592,7.579642985,포수&포미&포치
부산광역시,강서구,부산광역시 강서구,0.042839771,0.01900801,0.163725586,0.107497297,7.166904525,부기
