,도시레벨,연도,20~39세_여성,65세_이상_전체,지역소멸지수,소멸위험도
206,전라북도 완주군,2023,9035,48326,0.1869594007366635,0.1829483706116743
207,전라북도 익산시,2023,26740,123698,0.21617164384226098,0.1479984006511102
208,전라북도 임실군,2023,1471,20700,0.07106280193236715,0.604750715181284
209,전라북도 장수군,2023,1150,16050,0.07165109034267912,0.5991640442033903
210,전라북도 전주시,6069,155542,445756,0.3489397787130179,0.06288997029617673
211,전라북도 정읍시,2023,7728,63668,0.12137965697053466,0.32268312482108014
212,전라북도 진안군,2023,1397,18846,0.07412713573172026,0.5766223521929648
213,제주특별자치도 서귀포시,2023,16755,79682,0.21027333651263774,0.15427280350601713
214,제주특별자치도 제주시,2023,56207,161048,0.34900774924246186,0.062862982772614
215,충청남도 계룡시,2023,4763,13054,0.3648690056687605,0.05684025163362065
216,충청남도 공주시,2023,8920,60912,0.1464407670081429,0.2545088800256554
217,충청남도 금산군,2023,2902,35116,0.0826403918441736,0.5094247084701218
218,충청남도 논산시,2023,8530,66840,0.12761819269898264,0.30320926211021476
219,충청남도 당진시,2023,14761,70418,0.20961969950864837,0.1549898515636598
220,충청남도 보령시,2023,6988,56978,0.12264382744217066,0.31857690709268893
221,충청남도 부여군,2023,3483,48014,0.07254134210855168,0.5908820983482361
222,충청남도 서산시,2023,15609,73518,0.21231535134252835,0.1520611289475184
223,충청남도 서천군,2023,2624,39820,0.0658965344048217,0.6580964771103197
224,충청남도 아산시,2023,40351,99096,0.4071910067005732,0.04306628661126638
225,충청남도 예산군,2023,5419,53470,0.10134654946699084,0.4014278337293685
226,충청남도 천안시,6069,172974,342444,0.5051161649787994,0.02004483150302415
227,충청남도 청양군,2023,1822,23564,0.07732133763367849,0.5496751476389053
228,충청남도 태안군,2023,3478,43410,0.08011978806726561,0.5278324435795285
229,충청남도 홍성군,2023,8220,51930,0.1582900057770075,0.2297914738656897
230,충청북도 괴산군,2023,1754,28936,0.060616533038429635,0.7220122874923952
231,충청북도 단양군,2023,1510,20106,0.07510195961404556,0.568155429292833
232,충청북도 보은군,2023,1623,24342,0.06667488291841261,0.6495304943371553
233,충청북도 영동군,2023,2615,32288,0.0809898414271556,0.5213490336615602
234,충청북도 옥천군,2023,3107,33290,0.09333133072994894,0.44240169445221356
235,충청북도 음성군,2023,7216,45530,0.15848890841203603,0.22940810565268616
236,충청북도 제천시,2023,11512,67342,0.1709482937839684,0.20717188846995904
237,충청북도 증평군,2023,3771,15352,0.24563574778530484,0.12116777034766162
238,충청북도 진천군,2023,8342,31816,0.2621951219512195,0.1087353503241469
239,충청북도 청주시,10115,210120,537108,0.39120623785160524,0.047918393336475865
240,충청북도 충주시,2023,19156,95934,0.1996789459420018,0.16647357887021785
