,date,region,region_code,touDivNm,visitors
294,20230101,태안군,44825,현지인(a),48814.5
295,20230101,태안군,44825,외지인(b),62860.0
296,20230101,목포시,46110,현지인(a),165445.0
297,20230101,목포시,46110,외지인(b),81189.5
298,20230101,여수시,46130,현지인(a),143076.5
299,20230101,여수시,46130,외지인(b),103733.0
300,20230101,순천시,46150,현지인(a),156863.0
301,20230101,순천시,46150,외지인(b),76114.5
302,20230101,나주시,46170,현지인(a),62240.5
303,20230101,나주시,46170,외지인(b),44079.0
304,20230101,광양시,46230,현지인(a),69450.5
305,20230101,광양시,46230,외지인(b),35133.0
306,20230101,담양군,46710,현지인(a),22414.0
307,20230101,담양군,46710,외지인(b),58110.5
308,20230101,곡성군,46720,현지인(a),11704.0
309,20230101,곡성군,46720,외지인(b),16446.5
310,20230101,구례군,46730,현지인(a),11917.5
311,20230101,구례군,46730,외지인(b),17370.5
312,20230101,고흥군,46770,현지인(a),23870.0
313,20230101,고흥군,46770,외지인(b),29585.5
314,20230101,보성군,46780,현지인(a),17731.0
315,20230101,보성군,46780,외지인(b),34247.5
316,20230101,화순군,46790,현지인(a),35647.5
317,20230101,화순군,46790,외지인(b),38983.0
318,20230101,장흥군,46800,현지인(a),22655.5
319,20230101,장흥군,46800,외지인(b),23814.0
320,20230101,강진군,46810,현지인(a),19190.5
321,20230101,강진군,46810,외지인(b),18466.0
322,20230101,해남군,46820,현지인(a),29466.5
323,20230101,해남군,46820,외지인(b),31699.5
324,20230101,영암군,46830,현지인(a),27135.5
325,20230101,영암군,46830,외지인(b),24111.5
326,20230101,무안군,46840,현지인(a),49094.5
327,20230101,무안군,46840,외지인(b),47208.0
328,20230101,함평군,46860,현지인(a),10461.5
329,20230101,함평군,46860,외지인(b),20391.0
330,20230101,영광군,46870,현지인(a),27475.0
331,20230101,영광군,46870,외지인(b),26509.0
332,20230101,장성군,46880,현지인(a),18697.0
333,20230101,장성군,46880,외지인(b),26078.5
334,20230101,완도군,46890,현지인(a),28854.0
335,20230101,완도군,46890,외지인(b),20566.0
336,20230101,진도군,46900,현지인(a),14017.5
337,20230101,진도군,46900,외지인(b),17507.0
338,20230101,신안군,46910,현지인(a),13331.5
339,20230101,신안군,46910,외지인(b),21199.5
340,20230101,포항시 남구,47111,현지인(a),117887.0
341,20230101,포항시 남구,47111,외지인(b),126185.5
342,20230101,포항시 북구,47113,현지인(a),163992.5
343,20230101,포항시 북구,47113,외지인(b),141281.0
344,20230101,경주시,47130,현지인(a),158739.0
345,20230101,경주시,47130,외지인(b),212562.0
346,20230101,김천시,47150,현지인(a),68677.0
347,20230101,김천시,47150,외지인(b),37712.5
348,20230101,안동시,47170,현지인(a),107807.0
349,20230101,안동시,47170,외지인(b),52059.0
350,20230101,구미시,47190,현지인(a),185566.5
351,20230101,구미시,47190,외지인(b),70535.5
352,20230101,영주시,47210,현지인(a),63458.5
353,20230101,영주시,47210,외지인(b),26722.5
354,20230101,영천시,47230,현지인(a),43725.5
355,20230101,영천시,47230,외지인(b),47656.0
356,20230101,상주시,47250,현지인(a),49588.0
357,20230101,상주시,47250,외지인(b),45867.5
358,20230101,문경시,47280,현지인(a),30901.5
359,20230101,문경시,47280,외지인(b),32392.5
360,20230101,경산시,47290,현지인(a),147686.0
361,20230101,경산시,47290,외지인(b),102945.5
362,20230101,의성군,47730,현지인(a),21682.5
363,20230101,의성군,47730,외지인(b),29746.5
364,20230101,청송군,47750,현지인(a),13282.5
365,20230101,청송군,47750,외지인(b),23261.0
366,20230101,영양군,47760,현지인(a),6310.5
367,20230101,영양군,47760,외지인(b),5078.5
368,20230101,영덕군,47770,현지인(a),22354.5
369,20230101,영덕군,47770,외지인(b),90489.0
370,20230101,청도군,47820,현지인(a),19015.5
371,20230101,청도군,47820,외지인(b),47820.5
372,20230101,고령군,47830,현지인(a),12264.0
373,20230101,고령군,47830,외지인(b),19187.0
374,20230101,성주군,47840,현지인(a),21836.5
375,20230101,성주군,47840,외지인(b),23730.0
376,20230101,칠곡군,47850,현지인(a),42903.0
377,20230101,칠곡군,47850,외지인(b),65726.5
378,20230101,예천군,47900,현지인(a),27660.5
379,20230101,예천군,47900,외지인(b),22043.0
380,20230101,봉화군,47920,현지인(a),9922.5
381,20230101,봉화군,47920,외지인(b),16243.5
382,20230101,울진군,47930,현지인(a),30705.5
383,20230101,울진군,47930,외지인(b),53714.5
384,20230101,울릉군,47940,현지인(a),6380.5
385,20230101,울릉군,47940,외지인(b),2691.5
386,20230101,창원시 의창구,48121,현지인(a),106893.5
387,20230101,창원시 의창구,48121,외지인(b),91675.5
388,20230101,창원시 성산구,48123,현지인(a),131540.5
389,20230101,창원시 성산구,48123,외지인(b),77532.0
390,20230101,창원시 마산합포구,48125,현지인(a),97765.5
391,20230101,창원시 마산합포구,48125,외지인(b),87209.5
392,20230101,창원시 마산회원구,48127,현지인(a),90737.5
393,20230101,창원시 마산회원구,48127,외지인(b),52801.0
394,20230101,창원시 진해구,48129,현지인(a),82519.5
395,20230101,창원시 진해구,48129,외지인(b),56059.5
396,20230101,진주시,48170,현지인(a),158637.5
397,20230101,진주시,48170,외지인(b),64694.0
398,20230101,통영시,48220,현지인(a),69440.0
399,20230101,통영시,48220,외지인(b),68176.5
400,20230101,사천시,48240,현지인(a),52384.5
401,20230101,사천시,48240,외지인(b),64372.0
402,20230101,김해시,48250,현지인(a),265342.0
403,20230101,김해시,48250,외지인(b),131313.0
404,20230101,밀양시,48270,현지인(a),53959.5
405,20230101,밀양시,48270,외지인(b),60788.0
406,20230101,거제시,48310,현지인(a),207910.5
407,20230101,거제시,48310,외지인(b),106907.5
408,20230101,양산시,48330,현지인(a),182399.0
409,20230101,양산시,48330,외지인(b),107397.5
410,20230101,의령군,48720,현지인(a),12782.0
411,20230101,의령군,48720,외지인(b),14311.5
412,20230101,함안군,48730,현지인(a),31626.0
413,20230101,함안군,48730,외지인(b),33397.0
414,20230101,창녕군,48740,현지인(a),26477.5
415,20230101,창녕군,48740,외지인(b),34065.5
416,20230101,고성군,48820,현지인(a),24363.5
417,20230101,고성군,48820,외지인(b),41020.0
418,20230101,남해군,48840,현지인(a),21668.5
419,20230101,남해군,48840,외지인(b),44033.5
420,20230101,하동군,48850,현지인(a),15074.5
421,20230101,하동군,48850,외지인(b),26022.5
422,20230101,산청군,48860,현지인(a),14098.0
423,20230101,산청군,48860,외지인(b),29113.0
424,20230101,함양군,48870,현지인(a),19232.5
425,20230101,함양군,48870,외지인(b),21441.0
426,20230101,거창군,48880,현지인(a),32459.0
427,20230101,거창군,48880,외지인(b),21665.0
428,20230101,합천군,48890,현지인(a),19526.5
429,20230101,합천군,48890,외지인(b),27531.0
430,20230101,제주시,50110,현지인(a),429782.5
431,20230101,제주시,50110,외지인(b),160184.5
432,20230101,서귀포시,50130,현지인(a),139482.0
433,20230101,서귀포시,50130,외지인(b),164409.0
434,20230101,춘천시,51110,현지인(a),198177.0
435,20230101,춘천시,51110,외지인(b),92837.5
436,20230101,원주시,51130,현지인(a),212719.5
437,20230101,원주시,51130,외지인(b),91994.0
438,20230101,강릉시,51150,현지인(a),160783.0
439,20230101,강릉시,51150,외지인(b),186917.5
440,20230101,동해시,51170,현지인(a),59272.5
441,20230101,동해시,51170,외지인(b),56458.5
442,20230101,태백시,51190,현지인(a),28052.5
443,20230101,태백시,51190,외지인(b),24584.0
444,20230101,속초시,51210,현지인(a),64442.0
445,20230101,속초시,51210,외지인(b),128446.5
446,20230101,삼척시,51230,현지인(a),39039.0
447,20230101,삼척시,51230,외지인(b),53172.0
